,id,year,weekday,hour,splimit,gender,age,county,vehicle_type,circumstances,latitude,longitude,total_casualties,outcome_calculated,is_fatal,severity,geometry,is_dcc,radius_500m
1969,13203,2008,6,1,50,1,3,6,3,7,53.353827273538656,-6.258166910857541,2.0,3,False,0.0,POINT (-6.258166910857541 53.353827273538656),True,120
1970,22639,2012,3,2,50,2,6,6,3,10,53.32718812985391,-6.311492015909001,1.0,3,False,0.0,POINT (-6.311492015909001 53.32718812985391),True,54
1971,51934,2005,5,1,30,1,6,6,14,10,53.326425720005204,-6.314980312435393,1.0,3,False,0.0,POINT (-6.314980312435393 53.326425720005204),True,40
1972,13100,2008,5,2,50,2,9,6,3,3,53.28783622479904,-6.311001842125247,1.0,3,False,0.0,POINT (-6.311001842125247 53.28783622479904),False,16
1973,33040,2009,7,5,50,2,8,6,3,10,53.32366853728129,-6.353122191169603,1.0,3,False,0.0,POINT (-6.353122191169603 53.32366853728129),False,51
1974,69798,2014,6,4,50,1,6,6,1,10,53.36850497926781,-6.226463331553129,1.0,3,False,0.0,POINT (-6.226463331553129 53.36850497926781),True,42
1975,5798,2010,2,3,50,1,6,6,3,7,53.339238878037605,-6.305682453158743,1.0,3,False,0.0,POINT (-6.305682453158743 53.339238878037605),True,69
1976,52849,2005,2,1,50,1,6,6,14,5,53.31829383662199,-6.2697750197697495,1.0,3,False,0.0,POINT (-6.2697750197697495 53.31829383662199),True,72
1977,1108,2013,2,1,50,2,5,6,3,10,53.32311188963331,-6.279092508196555,1.0,3,False,0.0,POINT (-6.279092508196555 53.32311188963331),True,65
1978,39219,2011,7,2,50,1,8,6,1,10,53.23336411013244,-6.123985395548437,1.0,3,False,0.0,POINT (-6.123985395548437 53.23336411013244),False,29
1979,18539,2012,3,1,50,2,6,6,3,10,53.33191411782187,-6.252702329212854,1.0,3,False,0.0,POINT (-6.252702329212854 53.33191411782187),True,88
1980,3868,2013,3,4,50,2,5,6,3,7,53.29395127727099,-6.18020398781179,1.0,3,False,0.0,POINT (-6.18020398781179 53.29395127727099),False,14
1981,33934,2009,5,1,50,2,3,6,3,6,53.35559409149991,-6.245525479467873,1.0,3,False,0.0,POINT (-6.245525479467873 53.35559409149991),True,141
1982,68152,2014,6,3,50,1,6,6,4,10,53.34761835754634,-6.241378300220335,1.0,3,False,0.0,POINT (-6.241378300220335 53.34761835754634),True,74
1983,14633,2008,3,5,80,1,6,6,3,7,53.29186824033519,-6.199414282083338,1.0,3,False,0.0,POINT (-6.199414282083338 53.29186824033519),False,42
1984,4685,2013,6,2,50,1,5,6,5,7,53.29321309351269,-6.246106690939,2.0,3,False,0.0,POINT (-6.246106690939 53.29321309351269),False,46
1985,50628,2005,4,4,30,2,6,6,3,10,53.33883738838858,-6.308050769418171,1.0,3,False,0.0,POINT (-6.308050769418171 53.33883738838858),True,69
1986,51732,2005,5,3,60,2,5,6,3,10,53.29308539041472,-6.2457001453135765,1.0,3,False,0.0,POINT (-6.2457001453135765 53.29308539041472),False,47
1987,27341,2006,4,1,50,1,5,6,3,10,53.35299047404527,-6.256062923475245,1.0,3,False,0.0,POINT (-6.256062923475245 53.35299047404527),True,157
1988,35105,2009,3,2,60,1,9,6,12,10,53.37840350484302,-6.091379819978156,1.0,3,False,0.0,POINT (-6.091379819978156 53.37840350484302),False,1
1989,4857,2013,4,4,50,2,6,6,1,10,53.34543985098813,-6.266778389506088,1.0,3,False,0.0,POINT (-6.266778389506088 53.34543985098813),True,271
1990,19777,2012,6,3,50,1,4,6,3,7,53.30143923133113,-6.283925259247079,1.0,3,False,0.0,POINT (-6.283925259247079 53.30143923133113),False,28
1991,45597,2007,6,1,120,1,4,6,14,10,53.282007154133424,-6.325844695326026,1.0,3,False,0.0,POINT (-6.325844695326026 53.282007154133424),False,18
1992,49223,2005,1,4,100,1,6,6,3,2,53.390138678754056,-6.3166590042502255,1.0,3,False,0.0,POINT (-6.3166590042502255 53.390138678754056),True,37
1993,25085,2006,2,2,60,1,5,6,3,7,53.35480174222707,-6.2874251919388096,2.0,3,False,0.0,POINT (-6.2874251919388096 53.35480174222707),True,55
1994,13077,2008,2,1,50,2,3,6,3,10,53.315811470596,-6.2948083465172,1.0,3,False,0.0,POINT (-6.2948083465172 53.315811470596),True,31
1995,52759,2005,6,3,50,1,6,6,3,4,53.3532476170746,-6.248387222634089,1.0,3,False,0.0,POINT (-6.248387222634089 53.3532476170746),True,162
1996,70773,2014,7,2,80,2,9,6,3,2,53.23013502832893,-6.1319167303383395,1.0,3,False,0.0,POINT (-6.1319167303383395 53.23013502832893),False,17
1997,20635,2012,3,1,50,2,3,6,3,10,53.38469368212455,-6.180018918630679,1.0,3,False,0.0,POINT (-6.180018918630679 53.38469368212455),True,9
1998,32294,2009,6,5,50,1,4,6,3,10,53.32639079525819,-6.297160442346696,1.0,3,False,0.0,POINT (-6.297160442346696 53.32639079525819),True,59
1999,36619,2011,3,2,50,2,5,6,3,6,53.33957816775376,-6.265839613086345,1.0,3,False,0.0,POINT (-6.265839613086345 53.33957816775376),True,191
2000,35692,2009,5,5,50,1,5,6,5,10,53.354161788732256,-6.25685993596048,2.0,3,False,0.0,POINT (-6.25685993596048 53.354161788732256),True,128
2001,23955,2006,5,1,50,0,9,6,3,10,53.32900912665389,-6.327786471590809,1.0,2,False,1.0,POINT (-6.327786471590809 53.32900912665389),True,17
2002,51252,2005,3,2,50,1,5,6,12,6,53.35112548994101,-6.222336525341654,1.0,3,False,0.0,POINT (-6.222336525341654 53.35112548994101),True,20
2003,51054,2005,3,3,30,1,6,6,4,6,53.293343940976115,-6.274797056450782,1.0,1,True,1.0,POINT (-6.274797056450782 53.293343940976115),False,24
2004,51734,2005,3,2,50,1,9,6,3,5,53.33213035147634,-6.243654206570876,1.0,3,False,0.0,POINT (-6.243654206570876 53.33213035147634),True,86
2005,39645,2011,6,3,50,1,1,6,1,10,53.32667189534965,-6.313534027953898,1.0,3,False,0.0,POINT (-6.313534027953898 53.32667189534965),True,41
2006,26377,2006,5,2,60,1,5,6,2,4,53.32339803134431,-6.343614822957574,1.0,3,False,0.0,POINT (-6.343614822957574 53.32339803134431),False,47
2007,13093,2008,2,1,100,2,5,6,3,2,53.23562735197504,-6.132570492105407,1.0,3,False,0.0,POINT (-6.132570492105407 53.23562735197504),False,23
2008,11322,2008,6,2,60,1,7,6,3,7,53.24971854059211,-6.1341707181283205,1.0,3,False,0.0,POINT (-6.1341707181283205 53.24971854059211),False,40
2009,35690,2009,6,3,100,2,5,6,3,10,53.26864195889169,-6.162650774692079,2.0,3,False,0.0,POINT (-6.162650774692079 53.26864195889169),False,36
2010,71523,2014,5,4,50,1,6,6,3,10,53.33219831970672,-6.273536647469214,1.0,3,False,0.0,POINT (-6.273536647469214 53.33219831970672),True,141
2011,69950,2014,2,3,100,2,6,6,3,5,53.268670011494294,-6.2658950418702615,3.0,3,False,0.0,POINT (-6.2658950418702615 53.268670011494294),False,11
2012,1457,2013,7,2,50,1,6,6,3,10,53.33218442380053,-6.272496069990906,1.0,3,False,0.0,POINT (-6.272496069990906 53.33218442380053),True,142
2013,10581,2010,7,4,50,0,1,6,5,3,53.33351236206727,-6.291207041658554,2.0,3,False,0.0,POINT (-6.291207041658554 53.33351236206727),True,84
2014,15315,2008,6,4,50,1,7,6,3,3,53.29226774881914,-6.271143343168785,1.0,3,False,0.0,POINT (-6.271143343168785 53.29226774881914),False,26
2015,33271,2009,4,1,50,2,7,26,3,2,53.18934873108725,-6.137810161986438,1.0,3,False,0.0,POINT (-6.137810161986438 53.18934873108725),False,15
2016,71078,2014,4,3,80,1,9,6,2,10,53.268168314647454,-6.220494975388741,1.0,3,False,0.0,POINT (-6.220494975388741 53.268168314647454),False,20
2017,51259,2005,7,2,50,1,5,6,4,3,53.34666479212612,-6.263161533076124,2.0,3,False,0.0,POINT (-6.263161533076124 53.34666479212612),True,281
2018,967,2013,7,2,50,1,1,6,1,2,53.29181153264429,-6.268905395966014,1.0,2,False,1.0,POINT (-6.268905395966014 53.29181153264429),False,32
2019,19808,2012,4,2,50,1,6,6,5,6,53.369996804637935,-6.325428518251586,1.0,3,False,0.0,POINT (-6.325428518251586 53.369996804637935),True,18
2020,20542,2012,3,3,50,1,6,6,3,10,53.33078646598301,-6.275270185133208,1.0,3,False,0.0,POINT (-6.275270185133208 53.33078646598301),True,146
2021,70665,2014,2,2,50,2,7,6,1,10,53.30977000848222,-6.285864983247713,1.0,3,False,0.0,POINT (-6.285864983247713 53.30977000848222),True,56
2022,51518,2005,5,3,50,1,8,6,3,7,53.38911229855199,-6.2647063705057455,1.0,3,False,0.0,POINT (-6.2647063705057455 53.38911229855199),True,27
2023,40540,2011,7,2,30,1,8,6,1,10,53.33975661148452,-6.246684894257666,1.0,3,False,0.0,POINT (-6.246684894257666 53.33975661148452),True,111
2024,25043,2006,1,5,50,1,5,6,3,2,53.36162138627,-6.29804262216367,1.0,3,False,0.0,POINT (-6.29804262216367 53.36162138627),True,46
2025,39451,2011,6,3,60,2,5,6,3,10,53.30635147627228,-6.348337929650988,1.0,3,False,0.0,POINT (-6.348337929650988 53.30635147627228),False,20
2026,16128,2008,4,2,50,1,5,6,2,6,53.33693692825611,-6.353981265041858,1.0,3,False,0.0,POINT (-6.353981265041858 53.33693692825611),True,24
2027,34225,2009,7,2,50,2,5,6,3,10,53.37658893577026,-6.249239050129324,1.0,3,False,0.0,POINT (-6.249239050129324 53.37658893577026),True,47
2028,26039,2006,5,3,50,2,6,6,3,6,53.29678407871717,-6.3187865318857295,1.0,3,False,0.0,POINT (-6.3187865318857295 53.29678407871717),False,29
2029,39361,2011,5,1,50,1,9,6,3,6,53.29992859139375,-6.233192970296226,1.0,3,False,0.0,POINT (-6.233192970296226 53.29992859139375),False,16
2030,24185,2006,7,2,50,1,7,6,14,3,53.34740846431484,-6.2825857974515005,4.0,3,False,0.0,POINT (-6.2825857974515005 53.34740846431484),True,128
2031,52462,2005,6,4,30,1,3,6,3,3,53.274191612569325,-6.262853681946366,2.0,3,False,0.0,POINT (-6.262853681946366 53.274191612569325),False,27
2032,7935,2010,3,3,50,1,4,6,3,5,53.3406184756561,-6.308858141895101,1.0,3,False,0.0,POINT (-6.308858141895101 53.3406184756561),True,82
2033,44900,2007,5,2,60,2,5,6,3,10,53.299429361026995,-6.300363786563494,1.0,3,False,0.0,POINT (-6.300363786563494 53.299429361026995),False,51
2034,46854,2005,2,1,100,0,5,6,3,6,53.289287905149564,-6.319156403142887,1.0,3,False,0.0,POINT (-6.319156403142887 53.289287905149564),False,18
2035,41580,2007,3,4,50,2,4,6,3,10,53.38856908668501,-6.12454874973342,1.0,3,False,0.0,POINT (-6.12454874973342 53.38856908668501),False,11
2036,7780,2010,7,2,30,1,6,6,3,6,53.34918925719441,-6.269745525734363,1.0,3,False,0.0,POINT (-6.269745525734363 53.34918925719441),True,204
2037,50350,2005,7,2,30,1,6,6,3,4,53.359792518553604,-6.259339924963943,1.0,3,False,0.0,POINT (-6.259339924963943 53.359792518553604),True,142
2038,39695,2011,3,2,50,1,4,6,3,10,53.312154074170735,-6.2995766577831915,1.0,3,False,0.0,POINT (-6.2995766577831915 53.312154074170735),True,50
2039,35591,2009,5,2,50,1,5,6,4,10,53.32820849972933,-6.2409048419550155,1.0,3,False,0.0,POINT (-6.2409048419550155 53.32820849972933),True,61
2040,68238,2014,7,5,50,1,6,6,3,2,53.38890337121191,-6.080971652415542,1.0,3,False,0.0,POINT (-6.080971652415542 53.38890337121191),False,2
2041,4922,2013,4,3,50,1,6,6,2,6,53.3392921564388,-6.250778786790014,1.0,2,False,1.0,POINT (-6.250778786790014 53.3392921564388),True,89
2042,66002,2014,4,4,50,1,3,6,3,10,53.34718000855975,-6.27502496061943,1.0,3,False,0.0,POINT (-6.27502496061943 53.34718000855975),True,284
2043,7636,2010,7,2,50,1,4,6,2,7,53.28881745429885,-6.323979881675249,1.0,3,False,0.0,POINT (-6.323979881675249 53.28881745429885),False,25
2044,20225,2012,4,1,60,0,4,6,3,10,53.32674505350019,-6.342706421416267,1.0,3,False,0.0,POINT (-6.342706421416267 53.32674505350019),True,47
2045,19938,2012,5,3,50,2,5,6,3,7,53.32785708349098,-6.287173914262237,1.0,2,False,1.0,POINT (-6.287173914262237 53.32785708349098),True,33
2046,11206,2008,5,3,50,1,7,6,3,7,53.367748458023414,-6.227373647476171,1.0,2,False,1.0,POINT (-6.227373647476171 53.367748458023414),True,53
2047,1350,2013,1,2,50,2,7,6,3,10,53.326755489662446,-6.257041765628031,1.0,3,False,0.0,POINT (-6.257041765628031 53.326755489662446),True,103
2048,11438,2008,6,1,60,2,6,6,3,5,53.315537410137324,-6.227484807937951,1.0,3,False,0.0,POINT (-6.227484807937951 53.315537410137324),True,18
2049,21363,2012,4,1,60,2,6,6,3,10,53.323561698102395,-6.34647766740443,1.0,3,False,0.0,POINT (-6.34647766740443 53.323561698102395),False,68
2050,19196,2012,4,2,50,1,9,6,3,7,53.24299578063088,-6.121651813341179,1.0,3,False,0.0,POINT (-6.121651813341179 53.24299578063088),False,8
2051,29257,2009,6,1,50,1,1,6,2,3,53.29619152838555,-6.219937060664501,1.0,3,False,0.0,POINT (-6.219937060664501 53.29619152838555),False,18
2052,46927,2005,2,2,50,1,4,6,9,6,53.36418017240965,-6.289001495592142,1.0,3,False,0.0,POINT (-6.289001495592142 53.36418017240965),True,40
2053,48820,2005,4,5,50,0,1,6,5,10,53.35071711751101,-6.250433178669359,1.0,3,False,0.0,POINT (-6.250433178669359 53.35071711751101),True,143
2054,43560,2007,2,5,50,1,5,6,3,5,53.35392913331046,-6.286082311011529,1.0,3,False,0.0,POINT (-6.286082311011529 53.35392913331046),True,54
2056,16947,2008,1,2,50,2,1,6,3,10,53.35727241409873,-6.243105637083419,1.0,3,False,0.0,POINT (-6.243105637083419 53.35727241409873),True,128
2057,13108,2008,5,2,50,2,4,6,3,6,53.33031693122305,-6.260090572630549,1.0,3,False,0.0,POINT (-6.260090572630549 53.33031693122305),True,174
2058,6644,2010,5,3,60,1,5,6,3,7,53.28967256793692,-6.316631894451404,1.0,3,False,0.0,POINT (-6.316631894451404 53.28967256793692),False,24
2059,16015,2008,3,3,50,1,5,6,3,5,53.360596660136395,-6.2703107268825224,1.0,3,False,0.0,POINT (-6.2703107268825224 53.360596660136395),True,113
2060,1526,2013,4,1,50,2,7,6,3,7,53.34776218395771,-6.346172033694086,1.0,3,False,0.0,POINT (-6.346172033694086 53.34776218395771),True,15
2061,71435,2014,1,1,50,1,7,6,3,2,53.39043831014072,-6.084508362323657,1.0,3,False,0.0,POINT (-6.084508362323657 53.39043831014072),False,2
2062,51276,2005,7,3,50,1,5,6,1,6,53.330655561942706,-6.298068931249164,1.0,3,False,0.0,POINT (-6.298068931249164 53.330655561942706),True,75
2063,1416,2013,6,3,50,2,5,6,3,7,53.308275198890215,-6.286772443381551,2.0,3,False,0.0,POINT (-6.286772443381551 53.308275198890215),True,54
2064,38932,2011,4,3,30,1,5,6,1,10,53.34415636060422,-6.2637396792260045,1.0,3,False,0.0,POINT (-6.2637396792260045 53.34415636060422),True,281
2065,17171,2008,5,2,50,0,1,6,3,10,53.38906196970575,-6.25764437785282,1.0,3,False,0.0,POINT (-6.25764437785282 53.38906196970575),True,16
2066,33031,2009,6,3,50,1,6,6,8,10,53.31740646279607,-6.229614060841858,1.0,3,False,0.0,POINT (-6.229614060841858 53.31740646279607),True,41
2067,20170,2012,6,3,50,1,3,6,1,10,53.368814337847596,-6.269631560938879,1.0,3,False,0.0,POINT (-6.269631560938879 53.368814337847596),True,38
2068,34501,2009,7,3,50,1,4,6,1,10,53.23322702828341,-6.123691992553402,1.0,3,False,0.0,POINT (-6.123691992553402 53.23322702828341),False,30
