,zone_number,county,road_type_descri_ption,road_name,fatal_collisions,serious_collisions,minor_collisions,total_collisions,start_latitude,start_longtitude,end_latitude,end_longtitude,length_km,type
171,1334,Dublin,Regional,R132,0,1,1,2,53.398854,-6.243971,53.403799,-6.240473,0.62,New
172,1335,Dublin,Regional,R132,0,1,1,2,53.45218,-6.218315,53.453881,-6.214771,0.31,New
173,1336,Dublin,Regional,R132,0,1,2,3,53.460753,-6.213182,53.46491,-6.21489,0.48,New
174,1337,Dublin,Regional,R132,0,0,9,9,53.498392,-6.194258,53.508464,-6.192774,1.15,New
175,1338,Dublin,Regional,R132,0,1,4,5,53.519526,-6.190871,53.535828,-6.197444,2.0,New
176,1339,Dublin,Regional,R132,0,2,3,5,53.615051,-6.191146,53.62113,-6.199481,0.87,New
177,1344,Dublin,Regional,R133,0,2,5,7,53.292812,-6.229536,53.284439,-6.225361,0.99,New
178,1345,Dublin,Regional,R134,0,1,7,8,53.322844,-6.408142,53.320621,-6.421514,0.93,New
179,1346,Dublin,Regional,R134,0,3,6,9,53.327756,-6.370938,53.326048,-6.358127,0.88,New
180,1347,Dublin,Regional,R134,0,2,8,10,53.327982,-6.39501,53.328182,-6.38038,0.98,New
181,1348,Dublin,Regional,R135,0,1,5,6,53.360793,-6.272688,53.356017,-6.26526,0.85,New
182,1351,Dublin,Regional,R135,0,1,5,6,53.434093,-6.333658,53.421299,-6.324857,1.54,New
183,1353,Dublin,Regional,R136,0,1,1,2,53.297784,-6.413117,53.29211,-6.406868,0.77,New
184,1354,Dublin,Regional,R136,0,1,2,3,53.301642,-6.416243,53.303301,-6.419881,0.31,New
185,1356,Dublin,Regional,R137,0,1,3,4,53.296467,-6.308111,53.299248,-6.300862,0.59,New
186,1357,Dublin,Regional,R137,0,2,11,13,53.333595,-6.275062,53.339299,-6.27259,0.67,New
187,1359,Dublin,Regional,R137,1,0,10,11,53.340196,-6.272256,53.34287,-6.271843,0.31,New
188,1360,Dublin,Regional,R137,0,5,38,43,53.342963,-6.271723,53.344285,-6.261846,0.7,New
189,1363,Dublin,Regional,R138,0,1,3,4,53.328091,-6.245547,53.331977,-6.251448,0.62,New
190,1365,Dublin,Regional,R138,0,3,12,15,53.329524,-6.24991,53.338366,-6.255585,1.18,New
191,1366,Dublin,Regional,R138,0,0,6,6,53.33871,-6.256099,53.341799,-6.258115,0.46,New
192,1367,Dublin,Regional,R138,0,1,7,8,53.347591,-6.259101,53.345322,-6.25846,0.34,New
193,1368,Dublin,Regional,R139,2,2,15,19,53.400645,-6.167784,53.410436,-6.215934,3.41,New
194,1369,Dublin,Regional,R139,0,1,2,3,53.410483,-6.217811,53.409973,-6.22565,0.53,New
195,1372,Dublin,Regional,R147,0,1,7,8,53.379224,-6.353458,53.37225,-6.331975,1.63,New
196,1374,Dublin,Regional,R147,0,1,2,3,53.599897,-6.613013,53.615937,-6.637757,2.43,New
197,1379,Dublin,Regional,R148,0,0,13,13,53.355953,-6.375756,53.350766,-6.356234,1.47,New
198,1706,Dublin,Regional,R801,0,1,1,2,53.347537,-6.239851,53.346781,-6.227618,0.82,New
199,1707,Dublin,Regional,R802,0,5,26,31,53.340091,-6.223805,53.343527,-6.246426,1.62,New
200,1708,Dublin,Regional,R802,0,1,7,8,53.345218,-6.255021,53.34828,-6.254945,0.34,New
201,1709,Dublin,Regional,R802,0,1,3,4,53.347404,-6.251848,53.343527,-6.246426,0.7,New
202,1710,Dublin,Regional,R802,0,4,27,31,53.349721,-6.25371,53.359035,-6.262042,1.19,New
203,1712,Dublin,Regional,R804,0,7,23,30,53.343184,-6.281212,53.354198,-6.266939,1.82,New
204,1713,Dublin,Regional,R804,0,0,6,6,53.343244,-6.281522,53.337184,-6.286463,0.88,New
205,1714,Dublin,Regional,R805,0,1,22,23,53.347932,-6.282165,53.360857,-6.296334,1.82,New
206,1715,Dublin,Regional,R805,0,1,1,2,53.368945,-6.305462,53.367446,-6.302613,0.25,New
207,1716,Dublin,Regional,R806,0,0,6,6,53.372863,-6.362095,53.370202,-6.345294,1.2,New
208,1717,Dublin,Regional,R807,0,1,4,5,53.364993,-6.175495,53.373254,-6.165499,1.15,New
209,1718,Dublin,Regional,R808,0,1,5,6,53.35922,-6.196074,53.370365,-6.19435,1.25,New
210,1719,Dublin,Regional,R809,0,0,8,8,53.39033,-6.169093,53.377793,-6.172549,1.69,New
211,1720,Dublin,Regional,R809,1,2,3,6,53.398616,-6.161656,53.391103,-6.167679,0.98,New
212,1723,Dublin,Regional,R810,1,11,72,84,53.343293,-6.275239,53.318847,-6.36553,7.01,New
213,1724,Dublin,Regional,R811,0,1,38,39,53.33632,-6.298822,53.332597,-6.26486,2.47,New
214,1725,Dublin,Regional,R811,0,0,6,6,53.339414,-6.307734,53.336483,-6.298985,0.79,New
215,1726,Dublin,Regional,R812,0,0,7,7,53.336561,-6.306371,53.334122,-6.327773,1.45,New
216,1727,Dublin,Regional,R813,0,1,8,9,53.346728,-6.247462,53.342746,-6.241155,0.85,New
217,1728,Dublin,Regional,R815,1,3,10,14,53.341927,-6.250341,53.329528,-6.232014,2.1,New
218,1729,Dublin,Regional,R816,0,1,3,4,53.334383,-6.245666,53.337539,-6.251445,0.53,New
219,1730,Dublin,Regional,R817,0,2,2,4,53.294292,-6.308919,53.30244,-6.308956,0.92,New
220,1733,Dublin,Regional,R818,0,1,4,5,53.30955,-6.284684,53.312673,-6.303218,1.28,New
221,1734,Dublin,Regional,R820,0,1,10,11,53.308208,-6.253182,53.321471,-6.265828,2.01,New
222,1735,Dublin,Regional,R821,0,1,8,9,53.29668,-6.284609,53.291908,-6.265104,1.46,New
223,1736,Dublin,Regional,R822,0,2,4,6,53.293657,-6.282081,53.281542,-6.278538,1.44,New
224,1737,Dublin,Regional,R825,1,1,11,13,53.289048,-6.213154,53.290225,-6.192352,1.47,New
225,1738,Dublin,Regional,R825,0,2,3,5,53.291924,-6.180184,53.299472,-6.179711,0.85,New
226,1739,Dublin,Regional,R825,0,3,26,29,53.315935,-6.237717,53.292812,-6.229536,2.76,New
