,zone_number,county,road_type_descri_ption,road_name,fatal_collisions,serious_collisions,minor_collisions,total_collisions,start_latitude,start_longtitude,end_latitude,end_longtitude,length_km,type
276,2139,rbDaunb Rlionad,Urban StreFoe,/tuUnecslatosswifnie Ldane,0,1,6,7,53.284866,-6.418917,53.285592,-6.407888,0.76,New
277,2140,rbDaunb Rlionad,Urban Stree,/Uenrbcluarsgshif iSetdreet,0,1,4,5,53.340587,-6.270039,53.343127,-6.269914,0.28,New
278,2141,rbDaunb Rlionad,UrbanO S'tCroene,/eUlln Sctlraesestif iUepdper,0,1,19,20,53.352427,-6.26122,53.347716,-6.259278,0.54,New
279,2143,rbDaunb Rlionad,Urban Stree,a/Umnecsltaoswsifnie Rdoad,0,2,4,6,53.391782,-6.296382,53.402575,-6.291566,1.32,New
280,2144,rbDaunb Rlionad,UrbanS Sytdrene,/ UPanrcaladses iAfiveednue,0,2,0,2,53.320052,-6.212661,53.323364,-6.207084,0.55,New
281,2145,rbDaunb Rlionad,Urban Stree,/UnKcillmasosrifeie Rdoad,0,1,7,8,53.384356,-6.218566,53.380245,-6.210704,0.77,New
282,2146,Dublin,Local,L1014,0,1,4,5,53.328583,-6.358802,53.33929,-6.354948,1.33,New
283,2147,rbDaunb Rlionad,Urban Stree,/BUanlclilnatseseifrie Rdoad,0,2,0,2,53.282471,-6.244847,53.287453,-6.246474,0.57,New
284,2148,Dublin,Local,L3080,0,1,4,5,53.39385,-6.323605,53.387746,-6.32044,0.84,New
285,2151,rbDaunb Rlionad,Urban Stree,/UAvnoclnadsasilfeie Rdoad,0,1,1,2,53.266528,-6.133613,53.272953,-6.124833,0.96,New
286,2152,rbDaunb Rlionad,Urban StCroeer,/aUllinsc Rlaosasdif iSeoduth,0,2,4,6,53.425361,-6.237091,53.427074,-6.243001,0.44,New
287,2153,rbDaunb Rlionad,Urban StrMeea,/lUbonrcolausgshif iSetdreet,0,1,1,2,53.348491,-6.257503,53.351504,-6.258752,0.35,New
288,2154,rbDaunb Rlionad,Urban Stree,/UTniccklansoscifki eDdrive,0,1,3,4,53.26794,-6.248562,53.265442,-6.235214,1.02,New
289,2155,rbDaunb Rlionad,Urban Stree,/UncMlaassinif iSetdreet,0,1,6,7,53.389036,-6.298985,53.386048,-6.295778,0.4,New
290,2157,rbDaunb Rlionad,Urban Stree,/LUandcylsawsseiflile Rdoad,0,1,1,2,53.407882,-6.402318,53.406863,-6.397759,0.32,New
